subject_id,session,condition,folder_name,eeg_path,info_json_path,n_samples,duration_sec,n_channels_csv
202532,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202532\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202532\Session01\Test_kartonS01R000\info.json,11475,44.82,32
202532,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202532\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202532\Session01\Test_camsiseS01R000\info.json,11625,45.41,32
202533,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202533\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202533\Session01\Test_kartonS01R000\info.json,11456,44.75,32
202533,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202533\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202533\Session01\Test_camsiseS01R000\info.json,11627,45.42,32
202534,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202534\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202534\Session01\Test_kartonS01R000\info.json,11471,44.81,32
202534,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202534\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202534\Session01\Test_camsiseS01R000\info.json,11617,45.38,32
202537,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202537\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202537\Session01\Test_kartonS01R000\info.json,11456,44.75,32
202537,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202537\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202537\Session01\Test_camsiseS01R000\info.json,11604,45.33,32
202538,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202538\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202538\Session01\Test_kartonS01R000\info.json,11460,44.77,32
202538,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202538\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202538\Session01\Test_camsiseS01R000\info.json,11617,45.38,32
202539,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202539\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202539\Session01\Test_kartonS01R000\info.json,11463,44.78,32
202539,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202539\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202539\Session01\Test_camsiseS01R000\info.json,11616,45.38,32
202540,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202540\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202540\Session01\Test_kartonS01R000\info.json,11457,44.75,32
202540,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202540\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202540\Session01\Test_camsiseS01R000\info.json,11624,45.41,32
202541,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202541\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202541\Session01\Test_kartonS01R000\info.json,11451,44.73,32
